Total number of legal moves: 30974
21,33,29,29,30,22,11,10,9,14,17,28,26,18,26,23,21,28,42,31,
33,44,40,51,41,32,32,20,19,27,29,24,23,28,38,34,42,44,64,43,
19,43,43,38,42,36,34,32,31,31,29,28,38,20,34,38,57,53,52,32,
22,46,43,36,26,33,29,39,40,33,47,42,43,28,37,42,44,45,42,22,
17,33,44,27,31,28,38,55,60,51,60,47,45,40,36,38,46,52,29,12,
28,39,35,31,35,38,39,59,62,65,45,60,40,54,55,57,45,45,41,15,
25,42,36,40,45,43,47,52,58,52,41,47,44,66,57,47,40,40,40,31,
19,24,45,46,55,54,44,50,42,52,48,39,40,46,48,37,40,46,39,23,
17,23,38,42,51,56,43,53,50,49,47,43,40,58,46,34,38,32,36,25,
24,46,37,37,51,55,48,46,58,53,56,56,57,62,52,35,31,29,46,28,
21,45,43,34,39,36,49,53,49,48,55,67,55,37,33,33,34,38,42,36,
17,45,39,44,26,39,47,42,44,54,55,51,50,44,39,51,36,33,49,30,
17,38,45,36,35,38,42,49,55,40,49,61,57,46,61,42,47,51,49,26,
21,31,48,31,39,43,51,42,54,57,44,55,53,56,55,54,41,47,33,18,
26,34,45,50,42,52,53,61,56,60,68,52,60,65,61,59,42,34,35,21,
23,37,34,45,57,57,53,45,45,77,61,62,65,62,58,66,54,42,39,24,
19,33,45,43,48,52,51,57,64,67,89,70,53,61,54,62,62,44,40,30,
32,32,42,49,53,58,54,67,74,76,67,73,55,62,58,49,56,51,42,23,
31,53,50,58,53,50,71,71,73,79,75,54,57,43,59,45,59,59,45,27,
28,52,63,47,62,78,68,76,77,86,65,70,47,60,52,51,71,51,58,27,
31,41,47,51,57,64,69,60,83,86,74,78,46,53,69,67,66,69,69,43,
20,38,49,44,44,44,55,68,79,89,94,80,68,57,66,81,67,77,72,31,
25,33,44,33,40,46,62,81,70,76,78,77,62,51,50,66,67,60,64,31,
33,48,40,42,38,45,50,67,78,64,63,66,67,67,47,52,49,56,57,34,
21,46,34,37,47,50,47,57,65,58,65,58,56,53,63,39,60,40,41,26,
18,39,33,46,47,38,39,45,43,36,52,33,44,41,45,57,35,48,38,21,
29,40,30,32,38,35,33,45,32,43,29,31,37,35,35,50,49,29,33,23,
17,39,35,33,41,33,38,27,29,21,35,34,32,32,40,44,48,46,37,32,
20,32,33,34,37,32,22,17,32,30,20,27,32,28,29,36,42,55,56,25,
17,25,26,27,23,30,20,14,28,27,18,16,19,31,35,30,35,48,44,15,
17,18,21,22,29,17,19,16,29,29,21,17,20,19,27,35,31,30,27,16,
12,16,16,30,20,22,13,22,25,28,20,33,28,26,29,26,37,22,33,17,
7,10,16,19,15,13,12,19,21,17,29,35,23,44,41,36,36,37,29,26,
4,12,13,20,21,17,15,17,24,23,37,31,31,29,33,24,32,30,38,24,
10,9,10,13,17,17,18,19,20,34,30,23,20,27,25,34,33,26,31,20,
5,8,9,4,10,8,13,15,16,28,31,18,24,19,35,37,37,47,35,17,
1,6,5,6,10,13,19,11,25,21,28,24,23,34,24,42,48,45,52,27,
2,1,7,1,11,23,15,23,25,25,29,15,19,26,36,48,46,48,46,31,
3,4,5,4,8,11,14,21,12,24,24,23,24,24,28,41,50,38,55,37,
2,4,2,2,3,5,5,6,6,14,17,15,16,20,19,25,21,31,30,20,
